Reference, Quantity, Value, Footprint, Datasheet, LCSC, Digikey
C11 C12 ,2,"100u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","C312983",""
C13 ,1,"2n2","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","C318776",""
C14 C23 C25 ,3,"47u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","C403725",""
C17 ,1,"47p","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","C107176",""
C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C15 C16 C18 C21 C22 C26 C28 ,17,"10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","C1849",""
C20 ,1,"10n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","C107192",""
C19 C24 C27 ,3,"100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","C82601",""
C29 C30 ,2,"470u","Capacitor_SMD:CP_Elec_8x10.5","~","C79121",""
D1 ,1,"D_Schottky","Diode_SMD:D_SOD-128","~","C255587","1727-5324-1-ND"
D2 ,1,"BAT54S","Package_TO_SOT_SMD:SOT-23","~","C47546",""
H1 H2 ,2,"MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","-",""
H3 ,1,"MountingHole","custom_mounting:cableclamp_4x1.13_coax_bundled","~","-",""
H4 H5 H6 H7 ,4,"MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad_Via","~","-",""
J1 ,1,"E+","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical"," ~","C88374",""
J2 ,1,"E-","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical"," ~","C88374",""
J3 ,1,"S+","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical"," ~","C88374",""
J4 ,1,"S-","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical"," ~","C88374",""
J5 ,1,"RFShield_TwoPieces","shields_rf:Shield_TE2118726-2","~"
J6 ,1,"RATE","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","~","-",""
J7 ,1,"Conn_02x13_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x13_P2.54mm_Vertical","~","C358701",""
JP1 JP2 JP3 JP4 JP5 JP6 JP7 JP8 JP9 JP10 JP11 JP12 JP13 JP14 JP15 ,15,"Jumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~","-",""
L1 ,1,"6u8","Inductor_SMD:L_Taiyo-Yuden_NR-80xx_HandSoldering","~","C400395","535-13041-1-ND"
Q1 Q2 ,2,"BSS806NE","Package_TO_SOT_SMD:SOT-23","https://www.infineon.com/dgdl/Infineon-BSS806NE-DS-v02_01-en.pdf?fileId=db3a304340f610c201410d1548de3366","C91714","BSS806NEH6327XTSA1CT-ND"
R1 ,1,"51k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","C137133",""
R12 ,1,"330","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","C114944",""
R13 ,1,"1k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","C112223",""
R2 ,1,"470","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","C114945",""
R3 ,1,"910","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","C229846",""
R6 R7 ,2,"220","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","C137176",""
R4 R5 R8 R10 R11 ,5,"10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","C132649",""
R9 ,1,"62k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","C229742",""
TP1 ,1,"V+","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","-",""
TP2 ,1,"GND","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","-",""
TP3 ,1,"SCK","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","-",""
TP4 ,1,"DT","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","-",""
TP5 ,1,"RATE","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","-",""
TP6 ,1,"+9V","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","-",""
TP7 ,1,"+5V","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","-",""
U1 ,1,"BOOST MODULE","modules:boost_generic_var","~","N/A",""
U2 ,1,"DS18B20Z","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf","C97190",""
U3 ,1,"HX711","modules:hy711_module_smd","","N/A",""
U4 ,1,"PAM2421","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.62x3.51mm_ThermalVias","","C500792",""
U5 ,1,"LM317_SOT-223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm317.pdf","C51466",""
